experiment,event_id,agent,selected_at,mission_phase,active_link_at_decision,attack_type,target_link,target_traffic_classes,duration_sec,simulated_effects,expected_mission_impact,expected_p95_critical_latency_sec,expected_stale_data_ratio,expected_priority_inversion_rate,detectability_score,attack_score,selection_reason,candidate_rank,runner_up,safety_boundary
E3_rule_aura,atk-00001,AURA,60,normal_patrol,SATCOM,queue_pressure,SATCOM,"video, telemetry",80,latency +200ms; jitter +100ms; bandwidth cap 1.5Mbps; queue pressure enabled,0.566191,7.94287,0.676667,0.650389,0.15,0.543691,increase non-critical queue occupancy,1,"bandwidth_limit on SATCOM (score=0.434227, impact=0.456727)","Simulated effect only: no RF transmission, no exploit, no real packet generation, no operational SATCOM parameters."
E3_rule_aura,atk-00002,AURA,110,air_defense_watch,SATCOM,bandwidth_limit,SATCOM,all,80,jitter +80ms; loss +0.02; bandwidth cap 1Mbps,1,139.088,0.91,0.828951,0.35,0.9475,reduce available capacity during queue growth,1,"queue_pressure on SATCOM (score=0.9475 tied, impact=1)","Simulated effect only: no RF transmission, no exploit, no real packet generation, no operational SATCOM parameters."
E3_rule_aura,atk-00003,AURA,160,resupply_move,SATCOM,bandwidth_limit,SATCOM,all,80,jitter +80ms; loss +0.02; bandwidth cap 1Mbps,1,227.816,0.66,0.969875,0.35,0.9475,reduce available capacity during queue growth,1,"queue_pressure on SATCOM (score=0.9475 tied, impact=1)","Simulated effect only: no RF transmission, no exploit, no real packet generation, no operational SATCOM parameters."
E3_rule_aura,atk-00004,AURA,210,normal_patrol,SATCOM,bandwidth_limit,SATCOM,all,80,jitter +80ms; loss +0.02; bandwidth cap 1Mbps,1,276.17,0.66,1,0.35,0.9475,reduce available capacity during queue growth,1,"queue_pressure on SATCOM (score=0.9475 tied, impact=1)","Simulated effect only: no RF transmission, no exploit, no real packet generation, no operational SATCOM parameters."
E3_rule_aura,atk-00005,AURA,260,normal_patrol,SATCOM,stale_cop_induction,SATCOM,"telemetry, coordinate",70,latency +800ms; jitter +160ms; loss +0.04; bandwidth cap 1Mbps,1,391.747,0.656667,1,0.55,0.9175,COP freshness is already degraded,1,"queue_pressure on SATCOM (score=0.9035, impact=0.956)","Simulated effect only: no RF transmission, no exploit, no real packet generation, no operational SATCOM parameters."
E5_rule_aura_tsra_r,atk-00001,AURA,60,normal_patrol,SATCOM,queue_pressure,SATCOM,"video, telemetry",80,latency +200ms; jitter +100ms; bandwidth cap 1.5Mbps; queue pressure enabled,0.566191,7.94287,0.676667,0.650389,0.15,0.543691,increase non-critical queue occupancy,1,"bandwidth_limit on SATCOM (score=0.434227, impact=0.456727)","Simulated effect only: no RF transmission, no exploit, no real packet generation, no operational SATCOM parameters."
E5_rule_aura_tsra_r,atk-00002,AURA,110,air_defense_watch,LTE,queue_pressure,LTE,"video, telemetry",80,latency +200ms; jitter +100ms; bandwidth cap 1.5Mbps; queue pressure enabled,0.939263,57.9916,0.426667,0.535229,0.15,0.916763,increase non-critical queue occupancy,1,"stale_cop_induction on LTE (score=0.915089, impact=0.967589)","Simulated effect only: no RF transmission, no exploit, no real packet generation, no operational SATCOM parameters."
E5_rule_aura_tsra_r,atk-00003,AURA,160,resupply_move,LTE,queue_pressure,LTE,"video, telemetry",80,latency +200ms; jitter +100ms; bandwidth cap 1.5Mbps; queue pressure enabled,1,68.2658,0.676667,0.497307,0.15,0.9775,increase non-critical queue occupancy,1,"bandwidth_limit on LTE (score=0.896141, impact=0.948641)","Simulated effect only: no RF transmission, no exploit, no real packet generation, no operational SATCOM parameters."
E5_rule_aura_tsra_r,atk-00004,AURA,210,normal_patrol,LTE,queue_pressure,LTE,"video, telemetry",80,latency +200ms; jitter +100ms; bandwidth cap 1.5Mbps; queue pressure enabled,1,126.09,0.676667,0.487311,0.35,0.9475,increase non-critical queue occupancy,1,"bandwidth_limit on LTE (score=0.891155, impact=0.943655)","Simulated effect only: no RF transmission, no exploit, no real packet generation, no operational SATCOM parameters."
E5_rule_aura_tsra_r,atk-00005,AURA,260,normal_patrol,LTE,queue_pressure,LTE,"video, telemetry",80,latency +200ms; jitter +100ms; bandwidth cap 1.5Mbps; queue pressure enabled,0.956,203.573,0.426667,0.481991,0.35,0.9035,increase non-critical queue occupancy,1,"stale_cop_induction on LTE (score=0.858494, impact=0.940994)","Simulated effect only: no RF transmission, no exploit, no real packet generation, no operational SATCOM parameters."
