capability_id,side,agent_family,capability,runtime_actions,decision_source,trigger_or_selection_logic,evidence_count,evidence_experiments,observed_effect,validation_gate,safety_boundary
ATK-01,attack,AURA,bandwidth_limit,attack_event,"generate_attack_candidates, estimate_candidate_effect, estimate_detectability",reduce available capacity during queue growth,3,E3_rule_aura,targets=SATCOM; max_expected_impact=1; avg_attack_score=0.9475,G01/G02,"closed simulation capability matrix only; no RF, exploit, or live network action"
ATK-02,attack,AURA-ML,failover_chasing,attack_event,"generate_attack_candidates, estimate_candidate_effect, estimate_detectability, predict_candidate_impact",ML impact predictor selected failover_chasing,2,E7_ml_aura_ml_tsra_r,targets=LTE; max_expected_impact=0.916793; avg_attack_score=0.7957,G02/G10,"closed simulation capability matrix only; no RF, exploit, or live network action"
ATK-03,attack,"AURA, AURA-ML",queue_pressure,attack_event,"generate_attack_candidates, estimate_candidate_effect, estimate_detectability, predict_candidate_impact",increase non-critical queue occupancy,9,"E3_rule_aura, E5_rule_aura_tsra_r, E7_ml_aura_ml_tsra_r","targets=LTE,SATCOM; max_expected_impact=1; avg_attack_score=0.794212",G01/G02,"closed simulation capability matrix only; no RF, exploit, or live network action"
ATK-04,attack,AURA,stale_cop_induction,attack_event,"generate_attack_candidates, estimate_candidate_effect, estimate_detectability",COP freshness is already degraded,1,E3_rule_aura,targets=SATCOM; max_expected_impact=1; avg_attack_score=0.9175,G01/G02,"closed simulation capability matrix only; no RF, exploit, or live network action"
DEF-01,defense,TSRA-R-ML,ml_attack_alert,defense_events,predict_attack_probability,detector probability exceeds threshold,9,E7_ml_aura_ml_tsra_r,ML detector opens or maintains reactive defense window; validated by E6/E7 separation gate,G10,"closed simulation capability matrix only; no RF, exploit, or live network action"
DEF-02,defense,"TSRA-R, TSRA-R-ML",pace_switch,defense_events,"TSRA-R: evaluate_defense_conditions, select_fallback_link; TSRA-R-ML: predict_attack_probability, reactive defense window",active link degradation crosses mission threshold,2,"E5_rule_aura_tsra_r, E7_ml_aura_ml_tsra_r",removal_delta_recovery_instability=-1; used as bounded fallback path control,G03/G04,"closed simulation capability matrix only; no RF, exploit, or live network action"
DEF-03,defense,"TSRA-R, TSRA-R-ML",priority_reroute,defense_events,"TSRA-R: evaluate_defense_conditions; TSRA-R-ML: predict_attack_probability, reactive defense window",critical traffic waits behind video or queue pressure,13,"E5_rule_aura_tsra_r, E7_ml_aura_ml_tsra_r",removal_delta_priority_inversion=0.472656; removal_delta_impact=0.208039,G03/G04/G06,"closed simulation capability matrix only; no RF, exploit, or live network action"
DEF-04,defense,"TSRA-R, TSRA-R-ML",stale_badge,defense_events,"TSRA-R: evaluate_defense_conditions; TSRA-R-ML: predict_attack_probability, reactive defense window",COP stale ratio exceeds trust threshold,15,"E5_rule_aura_tsra_r, E7_ml_aura_ml_tsra_r",removal_delta_trusted_stale=0.3875; removal_delta_impact=0.204792,G03/G05/G07,"closed simulation capability matrix only; no RF, exploit, or live network action"
DEF-05,defense,"TSRA-R, TSRA-R-ML",video_throttle,defense_events,"TSRA-R: evaluate_defense_conditions; TSRA-R-ML: predict_attack_probability, reactive defense window",video load threatens critical traffic capacity,14,"E5_rule_aura_tsra_r, E7_ml_aura_ml_tsra_r",removal_delta_impact=-0.0132042; used as optional capacity control,G03/G09,"closed simulation capability matrix only; no RF, exploit, or live network action"
DEF-ADAPT-01,defense,TSRA-R-ADAPTIVE,adaptive_optional_action_gating,memory-backed policy gate,"AgentMemory, update_adaptive_action_policy",optional actions require repeated memory evidence before activation,30 seeds,adaptive_memory_summary,mission_impact_improvement=0.0144389; video_throttle_reduction=3.3,G08/G09,"closed simulation capability matrix only; no RF, exploit, or live network action"
