experiment,trace_id,time_sec,agent,policy,selected_type,selected_actions,decision_basis,selected_value,runner_up_value,selection_margin,threshold,threshold_margin,eligible_ready_count,unselected_ready_count,no_op_basis,margin_status,issues,safety_boundary
E3_rule_aura,aura-trace-00001,0,AURA,rule_attack_score,no_op,no_op,pre_start_or_cooldown_no_candidates,,,,0.12,,0,0,no scored attack candidates available,pass,,"closed simulation decision-margin audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00002,10,AURA,rule_attack_score,no_op,no_op,pre_start_or_cooldown_no_candidates,,,,0.12,,0,0,no scored attack candidates available,pass,,"closed simulation decision-margin audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00003,20,AURA,rule_attack_score,no_op,no_op,pre_start_or_cooldown_no_candidates,,,,0.12,,0,0,no scored attack candidates available,pass,,"closed simulation decision-margin audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00004,30,AURA,rule_attack_score,no_op,no_op,pre_start_or_cooldown_no_candidates,,,,0.12,,0,0,no scored attack candidates available,pass,,"closed simulation decision-margin audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00005,40,AURA,rule_attack_score,no_op,no_op,pre_start_or_cooldown_no_candidates,,,,0.12,,0,0,no scored attack candidates available,pass,,"closed simulation decision-margin audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00006,50,AURA,rule_attack_score,no_op,no_op,pre_start_or_cooldown_no_candidates,,,,0.12,,0,0,no scored attack candidates available,pass,,"closed simulation decision-margin audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00007,60,AURA,rule_attack_score,attack_event,queue_pressure,top_attack_score_minus_runner_up_and_threshold,0.543691,0.434227,0.109464,0.12,0.423691,0,0,,pass,,"closed simulation decision-margin audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00008,70,AURA,rule_attack_score,no_op,no_op,pre_start_or_cooldown_no_candidates,,,,0,,0,0,no scored attack candidates available,pass,,"closed simulation decision-margin audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00009,80,AURA,rule_attack_score,no_op,no_op,pre_start_or_cooldown_no_candidates,,,,0,,0,0,no scored attack candidates available,pass,,"closed simulation decision-margin audit only; no RF, exploit, or live network action"
E3_rule_aura,aura-trace-00010,90,AURA,rule_attack_score,no_op,no_op,pre_start_or_cooldown_no_candidates,,,,0,,0,0,no scored attack candidates available,pass,,"closed simulation decision-margin audit only; no RF, exploit, or live network action"
