experiment,incident_id,start_time_sec,end_time_sec,mission_phase,active_link,attack_summary,aura_decision_reason,defense_response,tsra_r_decision_reason,start_mission_impact,peak_mission_impact,end_mission_impact,peak_p95_critical_latency_sec,peak_trusted_stale_exposure,peak_priority_inversion_rate,residual_risk,outcome,safety_boundary
E5_rule_aura_tsra_r,E5_rule_aura_tsra_r-inc-01,60,100,normal_patrol,SATCOM,"atk-00001; queue_pressure; target=SATCOM; traffic=video,telemetry; score=0.543691; expected_impact=0.566191; reason=increase non-critical queue occupancy",increase non-critical queue occupancy,t=65: def-00003; priority_reroute; until=135; reason=critical traffic waiting behind video load || def-00004; video_throttle; until=125; reason=protect critical traffic capacity || t=75: def-00005; pace_switch; target=LTE; until=175; reason=SATCOM degraded beyond mission threshold || t=80: def-00006; stale_badge; until=170 || t=100: def-00007; video_throttle; until=160; reason=protect critical traffic capacity,emitted 2 defense event(s) || emitted 1 defense event(s),0.170655,0.170655,0.107999,2.3,0.125,0.190476,low residual risk after response,contained with measurable impact reduction,"closed simulation incident summary only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,E5_rule_aura_tsra_r-inc-02,110,140,air_defense_watch,LTE,"atk-00002; queue_pressure; target=LTE; traffic=video,telemetry; score=0.916763; expected_impact=0.939263; reason=increase non-critical queue occupancy",increase non-critical queue occupancy,t=125: def-00008; priority_reroute; until=195; reason=critical traffic waiting behind video load || t=135: def-00009; video_throttle; until=195; reason=protect critical traffic capacity || t=140: def-00010; stale_badge; until=230,emitted 1 defense event(s),0.0975179,0.0975179,0.08084,1.4,0.0625,0.0742857,low residual risk after response,held near initial impact,"closed simulation incident summary only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,E5_rule_aura_tsra_r-inc-03,160,205,resupply_move,LTE,"atk-00003; queue_pressure; target=LTE; traffic=video,telemetry; score=0.9775; expected_impact=1; reason=increase non-critical queue occupancy",increase non-critical queue occupancy,t=170: def-00011; video_throttle; until=230; reason=protect critical traffic capacity || def-00012; stale_badge; until=260 || t=175: def-00013; priority_reroute; until=245; reason=critical traffic waiting behind video load || t=200: def-00014; priority_reroute; until=270; reason=critical traffic waiting behind video load || def-00015; stale_badge; until=290 || t=205: def-00016; video_throttle; until=265; reason=protect critical traffic capacity,emitted 2 defense event(s) || emitted 1 defense event(s),0.110655,0.115123,0.112639,2,0.125,0.0371429,low residual risk after response,held near initial impact,"closed simulation incident summary only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,E5_rule_aura_tsra_r-inc-04,210,245,normal_patrol,LTE,"atk-00004; queue_pressure; target=LTE; traffic=video,telemetry; score=0.9475; expected_impact=1; reason=increase non-critical queue occupancy",increase non-critical queue occupancy,t=240: def-00017; video_throttle; until=300; reason=protect critical traffic capacity || t=245: def-00018; priority_reroute; until=315; reason=critical traffic waiting behind video load,emitted 1 defense event(s),0.112348,0.112348,0.0736488,2,0.125,0.0271967,low residual risk after response,contained with measurable impact reduction,"closed simulation incident summary only; no RF, exploit, or live network action"
E5_rule_aura_tsra_r,E5_rule_aura_tsra_r-inc-05,260,295,normal_patrol,LTE,"atk-00005; queue_pressure; target=LTE; traffic=video,telemetry; score=0.9035; expected_impact=0.956; reason=increase non-critical queue occupancy",increase non-critical queue occupancy,t=265: def-00019; stale_badge; until=355 || t=270: def-00020; priority_reroute; until=340; reason=critical traffic waiting behind video load || t=275: def-00021; video_throttle; until=335; reason=protect critical traffic capacity || t=295: def-00022; stale_badge; until=385,emitted 1 defense event(s),0.0717066,0.105899,0.103872,1.45,0.125,0.0219966,low residual risk after response,degradation persisted after response,"closed simulation incident summary only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,E7_ml_aura_ml_tsra_r-inc-01,60,105,normal_patrol,SATCOM,"ml-atk-00001; queue_pressure; target=SATCOM; traffic=video,telemetry; score=0.579505; expected_impact=0.602005; reason=ML impact predictor selected queue_pressure",ML impact predictor selected queue_pressure,t=80: def-00001; ml_attack_alert; probability=0.946005; threshold=0.75; until=150; reason=ML anomaly detector opened defense window || def-00002; priority_reroute; until=150; reason=critical traffic waiting behind video load || def-00003; video_throttle; until=140; reason=protect critical traffic capacity || def-00004; stale_badge; until=170 || def-00005; pace_switch; target=LTE; until=180; reason=SATCOM degraded beyond mission threshold || t=105: def-00006; ml_attack_alert; probability=0.951098; threshold=0.75; until=175; reason=ML anomaly detector opened defense window,detector opened or maintained defense window,0.376905,0.376905,0.220011,10.8,0.5,0.340426,"critical latency spike, trusted stale exposure, priority inversion pressure, residual mission impact",contained with measurable impact reduction,"closed simulation incident summary only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,E7_ml_aura_ml_tsra_r-inc-02,110,155,air_defense_watch,LTE,ml-atk-00002; failover_chasing; target=LTE; traffic=all; score=0.841793; expected_impact=0.916793; reason=ML impact predictor selected failover_chasing,ML impact predictor selected failover_chasing,t=115: def-00007; video_throttle; until=175; reason=protect critical traffic capacity || t=120: def-00008; priority_reroute; until=190; reason=critical traffic waiting behind video load || def-00009; stale_badge; until=210 || t=130: def-00010; ml_attack_alert; probability=0.971653; threshold=0.75; until=200; reason=ML anomaly detector opened defense window || t=150: def-00011; video_throttle; until=210; reason=protect critical traffic capacity || def-00012; stale_badge; until=240 || t=155: def-00013; ml_attack_alert; probability=0.96213; threshold=0.75; until=225; reason=ML anomaly detector opened defense window,detector opened or maintained defense window,0.211596,0.211596,0.187877,10.6,0.125,0.179775,critical latency spike,held near initial impact,"closed simulation incident summary only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,E7_ml_aura_ml_tsra_r-inc-03,160,205,resupply_move,LTE,"ml-atk-00003; queue_pressure; target=LTE; traffic=video,telemetry; score=0.918255; expected_impact=0.970755; reason=ML impact predictor selected queue_pressure",ML impact predictor selected queue_pressure,t=160: def-00014; priority_reroute; until=230; reason=critical traffic waiting behind video load || t=180: def-00015; ml_attack_alert; probability=0.953611; threshold=0.75; until=250; reason=ML anomaly detector opened defense window || def-00016; stale_badge; until=270 || t=185: def-00017; priority_reroute; until=255; reason=critical traffic waiting behind video load || def-00018; video_throttle; until=245; reason=protect critical traffic capacity || t=205: def-00019; ml_attack_alert; probability=0.953611; threshold=0.75; until=275; reason=ML anomaly detector opened defense window,detector opened or maintained defense window,0.185131,0.185131,0.134385,7.75,0.125,0.0960961,moderate latency pressure,contained with measurable impact reduction,"closed simulation incident summary only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,E7_ml_aura_ml_tsra_r-inc-04,210,255,normal_patrol,LTE,ml-atk-00004; failover_chasing; target=LTE; traffic=all; score=0.749607; expected_impact=0.824607; reason=ML impact predictor selected failover_chasing,ML impact predictor selected failover_chasing,t=210: def-00020; stale_badge; until=300 || t=220: def-00021; video_throttle; until=280; reason=protect critical traffic capacity || t=230: def-00022; ml_attack_alert; probability=0.975509; threshold=0.75; until=300; reason=ML anomaly detector opened defense window || def-00023; priority_reroute; until=300; reason=critical traffic waiting behind video load || t=255: def-00024; ml_attack_alert; probability=0.975509; threshold=0.75; until=325; reason=ML anomaly detector opened defense window || def-00025; priority_reroute; until=325; reason=critical traffic waiting behind video load || def-00026; video_throttle; until=315; reason=protect critical traffic capacity,detector opened or maintained defense window,0.133533,0.133533,0.093152,2,0.125,0.0695652,low residual risk after response,contained with measurable impact reduction,"closed simulation incident summary only; no RF, exploit, or live network action"
E7_ml_aura_ml_tsra_r,E7_ml_aura_ml_tsra_r-inc-05,260,300,normal_patrol,LTE,"ml-atk-00005; queue_pressure; target=LTE; traffic=video,telemetry; score=0.817505; expected_impact=0.870005; reason=ML impact predictor selected queue_pressure",ML impact predictor selected queue_pressure,t=270: def-00027; stale_badge; until=360 || t=280: def-00028; ml_attack_alert; probability=0.954306; threshold=0.75; until=350; reason=ML anomaly detector opened defense window || def-00029; priority_reroute; until=350; reason=critical traffic waiting behind video load || t=290: def-00030; video_throttle; until=350; reason=protect critical traffic capacity || t=300: def-00031; stale_badge; until=390,detector opened or maintained defense window,0.0926436,0.160475,0.123633,2,0.1875,0.0565371,low residual risk after response,stabilized after peak degradation,"closed simulation incident summary only; no RF, exploit, or live network action"
